user_id,organization_id,user_name,role,is_registered,created_at,last_active_at
USR-00035,ORG-0002,Indigo Nguyen,member,True,2023-03-02,2026-02-03
USR-00036,ORG-0003,Gray Lewis,owner,True,2025-11-19,2026-02-22
USR-00037,ORG-0003,Finley Lopez, admin ,True,2025-11-12,2026-02-06
USR-00038,ORG-0003,Alex Clark,admin,True,2025-11-19,2026-02-25
USR-00039,ORG-0003,Finley White,manager,True,2025-11-11,2026-02-28
USR-00040,ORG-0004,Gray Wright,owner,True,2023-10-07,2026-02-14
USR-00041,ORG-0004,Noel Tanaka,admin,True,2023-09-17,
USR-00042,ORG-0005,Jordan Patel,owner,True,2023-06-03,2026-01-08
USR-00043,ORG-0005,Avery Harris,admin,True,2023-06-14,2025-09-20
USR-00044,ORG-0005,Alex Thomas,admin,True,2023-06-30,2026-02-02
USR-00045,ORG-0005,Alex Jensen, manager ,True,2023-07-28,2026-02-26
USR-00046,ORG-0005,Gray Kim,manager,True,2023-06-21,2026-02-16
USR-00047,ORG-0005,Kit Hall,manager,True,2023-07-24,2025-10-27
USR-00048,ORG-0005,Jordan Smith,manager,True,2023-06-09,2025-09-30
USR-00049,ORG-0005,Kit Kim,member,True,2023-07-19,2026-01-22
USR-00050,ORG-0005,Mackenzie King,member,True,2023-06-23,2026-02-22
USR-00051,ORG-0005,Finley Clark,member,True,2023-07-30,2025-10-07
USR-00052,ORG-0005,Parker Garcia,member,True,2023-06-21,2026-01-26
USR-00053,ORG-0005,Casey Nguyen,member,True,2023-07-16,2025-12-30
USR-00054,ORG-0005, Gray Martin  ,member,True,2023-07-01,2025-12-18
USR-00055,ORG-0005,Riley Clark,member,True,2023-07-05,2025-11-13
USR-00056,ORG-0005, Kit Harris  ,member,True,2023-07-20,2026-01-01
USR-00057,ORG-0005,Skyler White,member,True,2023-07-22,
USR-00058,ORG-0005,Dakota Lewis,member,True,2023-07-14,2026-02-23
USR-00059,ORG-0005,Riley Lewis,member,True,2023-05-31,2026-01-29
USR-00060,ORG-0006,Indigo Walker,owner,True,2023-06-08,2025-09-12
USR-00061,ORG-0006,Jordan Nguyen,admin,True,2023-06-10,2026-01-10
USR-00062,ORG-0006, Emerson Lopez  ,admin,True,2023-06-23,2026-02-17
USR-00063,ORG-0006,Reese Silva,manager,True,2023-06-12,2025-09-15
USR-00064,ORG-0006,Kit Anderson,member,True,2023-05-12,2025-11-02
USR-00065,ORG-0006,Taylor Silva,member,True,2023-05-25,
USR-00066,ORG-0006,Riley Martin,member,True,2023-06-28,2025-09-21
USR-00067,ORG-0007,Kendall Smith,owner,True,2025-11-09,2025-11-12
USR-00068,ORG-0007,Quinn Silva,admin,True,2025-12-07,2025-12-17
USR-00069,ORG-0007,Taylor Costa,admin,True,2025-11-09,2025-11-17
USR-00070,ORG-0007,Gray Garcia,manager,False,2025-12-09,2025-12-22
USR-00071,ORG-0007,Harper Williams,member,True,2025-12-09,2025-12-18
USR-00072,ORG-0007,Riley Wright,member,True,2025-11-19,2025-11-29
USR-00073,ORG-0007,Harper Costa,member,True,2025-11-27,2025-12-02
USR-00074,ORG-0007,Haven Anderson,member,True,2025-12-13,2025-12-23
USR-00075,ORG-0007,Sage Walker,member,True,2025-12-06,2025-12-09
USR-00076,ORG-0007, Kendall Patel  ,member,True,2025-12-14,
USR-00077,ORG-0008,Alex Jensen,owner,True,2024-08-05,2025-11-06
USR-00078,ORG-0008,Morgan Patel,admin,True,2024-08-10,2025-10-21
USR-00079,ORG-0008,Riley Wright,admin,True,2024-08-13,2026-02-09
USR-00080,ORG-0008,Riley Lewis,manager,True,2024-07-24,2025-12-23
USR-00081,ORG-0008,Jules Patel,manager,True,2024-08-10,2025-11-18
USR-00082,ORG-0008,Reese Wright, manager ,True,2024-08-19,2026-02-15
USR-00083,ORG-0008,Jamie Martin,member,True,2024-07-30,2026-02-04
USR-00084,ORG-0008,Jamie Nguyen,member,True,2024-07-23,2025-11-11
USR-00085,ORG-0008,Quinn Brown,member,True,2024-08-15,2026-01-13
USR-00086,ORG-0008,Drew Lopez,member,True,2024-09-04,2026-01-13
USR-00087,ORG-0008,Skyler Tanaka,member,True,2024-08-08,2026-01-03
USR-00088,ORG-0008,Jordan Ali,member,True,2024-08-25,2026-02-15
USR-00089,ORG-0008,Logan Kim,member,True,2024-07-23,2026-01-23
USR-00090,ORG-0008,Jamie Patel,member,True,2024-08-07,2026-02-19
USR-00091,ORG-0008,Sage Harris,member,True,2024-08-19,2026-02-09
USR-00092,ORG-0008,Alex Brown,member,True,2024-07-30,2025-12-07
USR-00093,ORG-0008,Taylor Anderson,member,True,2024-09-12,2026-02-28
USR-00094,ORG-0009,Logan Anderson,owner,True,2025-06-05,2026-02-24
USR-00095,ORG-0009,Skyler Mueller,admin,True,2025-04-14,
USR-00096,ORG-0009,Sage Jackson,admin,True,2025-05-03,2026-01-29
USR-00097,ORG-0009,Riley Costa,manager,True,2025-06-04,2026-01-05
USR-00098,ORG-0009,Riley Williams,member,True,2025-04-11,2026-02-26
USR-00099,ORG-0010,Cameron Silva,owner,True,2023-05-20,2026-01-13
USR-00100,ORG-0010,Cameron White,admin,True,2023-03-31,2025-12-10
USR-00101,ORG-0010,Casey Walker,admin,True,2023-05-11,2025-06-16
USR-00102,ORG-0010,Skyler Garcia,manager,True,2023-04-02,2025-07-26
USR-00103,ORG-0010,Gray Jackson,member,True,2023-04-23,2025-10-24
USR-00104,ORG-0010,Parker Silva,member,True,2023-05-02,2025-11-15
USR-00105,ORG-0010,Harper Young,member,True,2023-04-30,2026-02-10
USR-00106,ORG-0011, Avery Anderson  ,owner,True,2024-05-22,2025-08-31
USR-00107,ORG-0011,Taylor Ali,admin,True,2024-06-29,2025-08-08
USR-00108,ORG-0011,Indigo Clark,admin,True,2024-05-05,2026-02-01
USR-00109,ORG-0011, Mackenzie White  ,manager,True,2024-06-29,2025-06-12
USR-00110,ORG-0011,Parker Lee,manager,True,2024-06-11,2026-02-24
USR-00111,ORG-0011,Ellis Williams,manager,True,2024-05-14,2025-10-03
USR-00112,ORG-0011,Riley Brown,manager,True,2024-06-23,2026-01-23
USR-00113,ORG-0011,Jordan Park,manager,True,2024-05-08,2025-05-23
USR-00114,ORG-0011,Jamie Brown,manager,True,2024-06-24,2025-10-02
USR-00115,ORG-0011,Haven Harris,member,True,2024-05-19,2025-07-29
USR-00116,ORG-0011,Drew Lopez,member,True,2024-06-23,2025-12-09
USR-00117,ORG-0011,Harper Jackson,member,True,2024-05-28,2025-07-30
USR-00118,ORG-0011,Indigo Mueller,member,True,2024-06-05,2025-12-09
USR-00119,ORG-0011,Indigo Smith,member,True,2024-06-22,2025-10-10
USR-00120,ORG-0011, Parker Thomas  ,member,True,2024-06-22,2026-02-12
USR-00121,ORG-0011,Jamie Kim,member,True,2024-05-12,2024-09-14
USR-00122,ORG-0011,Parker Walker,member,True,2024-07-02,2026-01-04
USR-00123,ORG-0011,Morgan White,member,True,2024-06-21,2025-08-20
USR-00124,ORG-0011,Dakota King,member,True,2024-06-06,2025-08-20
USR-00125,ORG-0011,Jules Park,member,True,2024-05-19,2025-07-30
USR-00126,ORG-0011,Logan White,member,True,2024-06-10,2025-08-05
USR-00127,ORG-0011,Riley Mueller,member,True,2024-05-28,2025-08-13
USR-00128,ORG-0011,Reese Lee,member,True,2024-06-16,2025-11-10
USR-00129,ORG-0011,Harper Wright,member,True,2024-06-28,2026-01-12
USR-00130,ORG-0012,Jordan Lewis,owner,True,2024-02-18,2026-02-13
USR-00131,ORG-0012,Kit Mueller,admin,True,2024-03-16,2025-11-07
USR-00132,ORG-0012,Finley Smith,admin,True,2024-02-09,2026-02-26
USR-00133,ORG-0013,Haven Anderson,owner,True,2024-09-08,2025-10-20
USR-00134,ORG-0013,Blake Lee,admin,True,2024-07-22,2026-01-05
USR-00135,ORG-0013,Indigo Silva,admin,True,2024-07-24,2025-12-24
USR-00136,ORG-0013,Dakota Lewis, manager ,True,2024-08-13,2025-12-03
USR-00137,ORG-0013,Emerson Mueller,manager,True,2024-08-31,2025-07-29
USR-00138,ORG-0013,Sage Patel,manager,True,2024-07-28,2026-02-04
USR-00139,ORG-0013,Kit Young,member,True,2024-08-11,2025-12-23
USR-00140,ORG-0013,Ellis Thomas,member,True,2024-09-09,2026-02-12
USR-00141,ORG-0013,Jordan Thomas,member,True,2024-09-04,2025-11-23
USR-00142,ORG-0013,Dakota Clark, member ,True,2024-08-17,2025-08-01
USR-00143,ORG-0013,Ellis King,member,True,2024-08-18,
USR-00144,ORG-0013,Alex Nguyen,member,True,2024-07-28,2024-12-01
USR-00145,ORG-0013,Quinn Young,member,True,2024-07-19,2025-11-29
USR-00146,ORG-0013,Kendall Chen,member,True,2024-09-12,2026-02-24
USR-00147,ORG-0013,Quinn Mueller,member,True,2024-08-08,2026-02-20
USR-00148,ORG-0013,Mackenzie Ali,member,True,2024-08-25,2025-10-10
USR-00149,ORG-0013,Skyler Smith,member,True,2024-07-31,2026-01-30
USR-00150,ORG-0014,Riley King,owner,True,2025-10-01,2026-02-01
USR-00151,ORG-0014,Parker Jackson,admin,True,2025-09-23,2025-12-14
USR-00152,ORG-0014,Finley Nguyen,admin,True,2025-10-24,2025-11-01
USR-00153,ORG-0014,Jules Mueller,manager,True,2025-10-18,2026-02-06
USR-00154,ORG-0014,Taylor Tanaka,manager,True,2025-09-02,2026-02-07
USR-00155,ORG-0014,Riley King,manager,True,2025-10-07,2026-01-14
USR-00156,ORG-0014,Quinn King,manager,True,2025-09-15,2026-01-10
USR-00157,ORG-0014,Skyler Brown,manager,True,2025-09-18,2026-01-05
USR-00158,ORG-0014,Mackenzie Smith,member,True,2025-10-26,2026-02-22
USR-00159,ORG-0014,Ellis Lee,member,True,2025-09-01,2026-02-21
USR-00160,ORG-0014,Casey Martin,member,True,2025-09-12,2025-12-29
USR-00161,ORG-0014,Alex Silva, member ,True,2025-09-17,2025-09-27
USR-00162,ORG-0014,Dakota Clark,member,True,2025-10-16,2026-02-08
USR-00163,ORG-0014, Jamie Wright  ,member,True,2025-09-25,2025-10-24
USR-00164,ORG-0014,Kendall Mueller,member,True,2025-09-14,2025-12-26
USR-00165,ORG-0014,Skyler Thomas,member,True,2025-10-23,2026-01-06
USR-00166,ORG-0014,Parker Garcia,member,True,2025-09-01,2025-11-18
USR-00167,ORG-0014,Skyler Young,member,True,2025-10-24,2026-01-07
USR-00168,ORG-0014,Sage Harris,member,True,2025-10-09,2026-01-25
USR-00169,ORG-0014,Skyler Garcia,member,True,2025-10-01,2026-01-29
USR-00170,ORG-0014,Cameron Martin,member,True,2025-09-21,2026-02-13
USR-00171,ORG-0014,Cameron Martin,member,True,2025-10-16,2025-12-12
USR-00172,ORG-0015,Quinn Kim,owner,True,2023-02-20,2023-09-30
USR-00173,ORG-0015,Ellis Silva,admin,True,2023-03-16,2023-06-23
USR-00174,ORG-0015,Jordan Hall,admin,True,2023-03-13,2023-06-01
USR-00175,ORG-0015,Gray Hall,manager,True,2023-02-25,2023-09-26
USR-00176,ORG-0016,Drew Smith,owner,True,2023-08-03,2026-02-19
USR-00177,ORG-0016,Logan Tanaka,admin,True,2023-07-09,2026-02-13
USR-00178,ORG-0016,Kit Park,admin,True,2023-07-18,2026-02-24
USR-00179,ORG-0016,Harper Lewis,manager,True,2023-06-25,2026-02-16
USR-00180,ORG-0017, Emerson Lewis  ,owner,True,2023-11-19,2026-02-09
USR-00181,ORG-0017,Avery Lee,admin,True,2023-11-08,2026-02-28
USR-00182,ORG-0017,Sage Hall,admin,True,2023-11-04,2026-02-26
USR-00183,ORG-0018,Mackenzie Tanaka,owner,True,2024-09-26,2025-03-05
USR-00184,ORG-0018,Riley Young,admin,True,2024-09-14,2025-03-27
USR-00185,ORG-0018,Jules Jackson,admin,True,2024-08-14,2025-03-16
USR-00186,ORG-0018,Dakota Garcia,manager,True,2024-09-02,2025-02-23
USR-00187,ORG-0019,Drew Hall,owner,True,2024-08-21,2026-02-28
USR-00188,ORG-0019,Ellis Lopez,admin,True,2024-07-28,2026-01-06
USR-00189,ORG-0019,Skyler Wright,admin,True,2024-08-07,2025-10-31
USR-00190,ORG-0019,Sage Patel,manager,True,2024-07-31,2026-02-28
USR-00191,ORG-0020,Jamie Hall,owner,True,2023-07-09,2024-02-01
USR-00192,ORG-0020, Emerson Costa  ,admin,True,2023-05-30,2023-11-02
USR-00193,ORG-0020,Parker Tanaka,admin,True,2023-06-12,2024-01-21
USR-00194,ORG-0020,Indigo Garcia,manager,True,2023-06-13,2023-12-22
USR-00195,ORG-0021, Quinn Thomas  ,owner,True,2025-05-11,2026-02-20
USR-00196,ORG-0021,Indigo Lee,admin,True,2025-05-28,2025-12-18
USR-00197,ORG-0021,Mackenzie Tanaka,admin,True,2025-05-30,2025-06-08
USR-00198,ORG-0021,Jordan King,manager,True,2025-06-27,2025-11-13
USR-00199,ORG-0021,Quinn Jensen,manager,True,2025-05-30,2025-10-18
USR-00200,ORG-0021,Jules Lopez,manager,True,2025-06-02,2025-09-19
USR-00201,ORG-0021,Indigo Clark,manager,True,2025-05-15,2026-01-23
USR-00202,ORG-0021,Logan Jensen,manager,True,2025-06-13,2025-12-29
USR-00203,ORG-0021,Emerson Martin,manager,False,2025-05-07,2025-05-11
USR-00204,ORG-0021, Cameron Brown  ,member,True,2025-06-21,2025-06-28
USR-00205,ORG-0021,Parker Walker,member,True,2025-05-14,2026-01-17
USR-00206,ORG-0021, Ellis Walker  ,member,True,2025-05-09,2025-05-23
USR-00207,ORG-0021,Jamie Martin,member,True,2025-05-31,2025-12-09
USR-00208,ORG-0021,Logan Ali,member,False,2025-05-04,2025-05-15
USR-00209,ORG-0021,Quinn Lewis,member,True,2025-05-27,2026-02-16
USR-00210,ORG-0021,Jules Jensen,member,True,2025-06-21,
USR-00211,ORG-0021,Quinn Smith,member,False,2025-06-16,2025-06-27
USR-00212,ORG-0021,Drew Silva,member,True,2025-05-18,2026-02-12
USR-00213,ORG-0021,Finley Tanaka,member,True,2025-05-12,2025-10-19
USR-00214,ORG-0021,Mackenzie White,member,True,2025-05-23,2026-02-23
USR-00215,ORG-0021,Haven Chen,member,True,2025-05-23,2025-11-04
USR-00216,ORG-0021,Kendall Lewis,member,True,2025-06-06,2026-02-24
USR-00217,ORG-0021,Emerson Park,member,True,2025-06-29,2025-12-01
USR-00218,ORG-0021,Casey Jensen,member,True,2025-06-30,2025-07-05
USR-00219,ORG-0021,Ellis Brown,member,True,2025-05-14,2025-08-16
USR-00220,ORG-0022,Alex Silva,owner,True,2025-12-21,2026-02-20
USR-00221,ORG-0022,Drew Kim,admin,True,2025-12-20,2026-01-24
USR-00222,ORG-0022,Drew Smith,admin,True,2026-01-13,2026-01-17
USR-00223,ORG-0022,Mackenzie Nguyen,manager,True,2025-12-14,2026-01-16
USR-00224,ORG-0022,Sage Hall,manager,True,2025-12-09,2025-12-12
USR-00225,ORG-0022,Sage Mueller,member,True,2026-01-25,2026-02-26
USR-00226,ORG-0022,Jordan Harris,member,True,2025-12-10,2025-12-17
USR-00227,ORG-0022,Sage Young,member,False,2025-12-08,
USR-00228,ORG-0022,Morgan Park,member,True,2026-01-04,2026-02-14
USR-00229,ORG-0022,Noel Mueller,member,True,2026-01-06,2026-01-30
USR-00230,ORG-0022, Quinn Clark  ,member,True,2026-01-19,2026-01-22
USR-00231,ORG-0022,Dakota Park,member,True,2026-01-18,2026-01-19
USR-00232,ORG-0022,Mackenzie Mueller,member,True,2026-01-15,2026-01-26
USR-00233,ORG-0023,Jamie Young,owner,True,2025-01-28,2026-02-09
USR-00234,ORG-0023,Morgan Thomas,admin,True,2025-01-17,2026-01-06
USR-00235,ORG-0023,Reese Garcia,admin,True,2024-12-20,2026-01-10
USR-00236,ORG-0023,Morgan Hall,manager,True,2024-12-08,2026-02-22
USR-00237,ORG-0023,Reese Brown,manager,True,2025-01-20,2026-02-07
USR-00238,ORG-0023, Mackenzie Brown  ,manager,True,2024-12-24,2026-01-12
USR-00239,ORG-0023,Dakota Nguyen, manager ,True,2024-12-04,
USR-00240,ORG-0023,Kit Brown,manager,True,2025-01-15,2025-12-16
USR-00241,ORG-0023, Emerson Silva  ,manager,False,2024-12-02,2024-12-12
USR-00242,ORG-0023,Taylor Lopez,member,True,2024-12-09,2026-01-02
USR-00243,ORG-0023,Skyler Anderson,member,True,2024-12-11,2025-05-17
USR-00244,ORG-0023,Ellis Thomas,member,True,2024-12-06,2025-08-26
USR-00245,ORG-0023,Morgan Wright,member,True,2024-12-18,2025-11-22
USR-00246,ORG-0023,Kendall Tanaka,member,True,2024-12-18,2025-11-06
USR-00247,ORG-0023,Morgan Young,member,True,2024-12-13,2025-12-22
USR-00248,ORG-0023,Indigo Tanaka,member,True,2024-12-25,2025-12-16
USR-00249,ORG-0023,Emerson Park,member,True,2025-01-18,
USR-00250,ORG-0023,Indigo Walker,member,False,2025-01-27,2025-02-04
USR-00251,ORG-0023,Indigo Kim,member,True,2025-01-13,2026-01-15
USR-00252,ORG-0023,Emerson Costa,member,True,2025-01-28,2026-02-01
USR-00253,ORG-0023,Reese Mueller,member,True,2025-01-27,2026-02-15
USR-00254,ORG-0023, Finley Young  ,member,True,2024-12-23,2026-01-28
USR-00255,ORG-0023,Harper Ali,member,True,2024-12-31,2025-07-09
USR-00256,ORG-0023,Harper Clark,member,True,2025-01-25,2026-01-01
USR-00257,ORG-0023,Jamie Martin,member,True,2025-01-27,
USR-00258,ORG-0024,Casey Clark,owner,True,2023-02-27,2026-01-11
USR-00259,ORG-0024,Jordan King,admin,True,2023-01-22,2025-12-06
USR-00260,ORG-0024,Morgan Park,admin,True,2023-03-11,2026-01-29
USR-00261,ORG-0024,Parker Anderson,manager,True,2023-03-04,2026-02-27
USR-00262,ORG-0024,Kendall Nguyen,manager,True,2023-02-20,2026-02-24
USR-00263,ORG-0024,Finley Harris,manager,True,2023-01-13,
USR-00264,ORG-0024, Jules Young  ,manager,True,2023-02-27,2025-09-20
USR-00265,ORG-0024,Casey Anderson,manager,True,2023-03-11,2025-10-22
USR-00266,ORG-0024,Jules Park,manager,False,2023-02-09,2023-02-22
USR-00267,ORG-0024,Cameron Martin,member,False,2023-02-01,2023-02-04
USR-00268,ORG-0024,Indigo Lee,member,True,2023-02-14,2026-02-09
USR-00269,ORG-0024,Parker Lewis,member,True,2023-02-17,2026-02-08
USR-00270,ORG-0024,Skyler King,member,True,2023-02-02,2026-02-07
USR-00271,ORG-0024,Blake Clark,member,True,2023-02-20,2026-01-31
USR-00272,ORG-0024,Skyler Lewis,member,True,2023-01-27,2025-12-05
USR-00273,ORG-0024,Skyler Lee,member,True,2023-02-22,2026-02-18
USR-00274,ORG-0024,Haven Young,member,True,2023-02-16,2025-12-17
USR-00275,ORG-0024,Reese Chen,member,True,2023-01-12,2025-08-29
USR-00276,ORG-0024,Riley Thomas,member,True,2023-03-07,2026-01-27
USR-00277,ORG-0024,Logan King,member,True,2023-01-22,2026-02-26
USR-00278,ORG-0024,Logan Jensen,member,True,2023-01-27,2026-01-11
USR-00279,ORG-0024,Cameron Chen,member,True,2023-02-13,2025-11-08
USR-00280,ORG-0024,Sage Ali,member,True,2023-02-06,2025-11-29
USR-00281,ORG-0024,Taylor Williams,member,True,2023-02-09,2025-11-24
USR-00282,ORG-0024,Kendall Patel,member,True,2023-03-07,2026-02-02
USR-00283,ORG-0025,Morgan Anderson,owner,True,2024-04-24,2026-02-18
USR-00284,ORG-0025,Sage Smith,admin,True,2024-03-14,2025-11-06
USR-00285,ORG-0025,Harper Park,admin,True,2024-03-10,2026-01-24
USR-00286,ORG-0025,Noel Jackson,manager,True,2024-03-08,2025-12-04
USR-00287,ORG-0026,Jules Thomas,owner,True,2024-10-29,2026-01-18
USR-00288,ORG-0026, Quinn Martin  ,admin,True,2024-11-05,2026-01-09
USR-00289,ORG-0026,Kendall Jensen,admin,True,2024-10-17,2025-12-04
USR-00290,ORG-0026,Haven Chen,manager,True,2024-11-15,2025-10-09
USR-00291,ORG-0026,Kendall Jensen,member,True,2024-10-29,2026-02-19
USR-00292,ORG-0026,Reese Anderson,member,True,2024-11-08,2025-12-31
USR-00293,ORG-0027,Morgan Garcia,owner,True,2023-05-13,2026-01-29
USR-00294,ORG-0027, Skyler Silva  ,admin,True,2023-03-26,2025-12-28
USR-00295,ORG-0027,Emerson Costa,admin,True,2023-05-18,2026-02-25
USR-00296,ORG-0027,Sage Hall,manager,True,2023-04-13,2026-01-17
USR-00297,ORG-0027,Finley Clark,member,False,2023-04-01,2023-04-12
USR-00298,ORG-0028,Logan Kim,owner,True,2024-03-14,2026-02-17
USR-00299,ORG-0028,Blake Lewis,admin,True,2024-03-08,2026-02-23
USR-00300,ORG-0028,Jamie Garcia,admin,True,2024-02-07,2025-12-09
USR-00301,ORG-0028,Reese Brown,manager,True,2024-02-03,2025-11-25
USR-00302,ORG-0028,Indigo Ali,manager,True,2024-02-04,2025-12-29
USR-00303,ORG-0028,Gray Brown,member,True,2024-03-07,2026-01-26
USR-00304,ORG-0028,Ellis Park,member,True,2024-01-24,2026-01-14
USR-00305,ORG-0028,Haven Lee,member,True,2024-02-28,2026-02-04
USR-00306,ORG-0028,Jules Williams, member ,True,2024-02-20,2026-02-09
USR-00307,ORG-0028,Mackenzie Kim,member,False,2024-02-22,2024-03-07
USR-00308,ORG-0028,Drew Chen, member ,True,2024-02-26,2026-02-19
USR-00309,ORG-0028, Haven White  ,member,True,2024-02-21,2025-12-23
USR-00310,ORG-0028,Ellis Lopez,member,True,2024-03-20,2026-01-21
USR-00311,ORG-0029,Drew Young,owner,True,2023-05-06,2026-01-05
USR-00312,ORG-0029,Morgan Ali,admin,True,2023-06-09,2026-01-14
USR-00313,ORG-0029,Reese Harris,admin,True,2023-06-23,2026-02-16
USR-00314,ORG-0029,Emerson Thomas,manager,True,2023-06-23,2026-02-08
USR-00315,ORG-0029,Reese Lopez,manager,True,2023-06-11,2026-02-25
USR-00316,ORG-0029,Cameron Ali,manager,True,2023-05-19,2025-09-25
USR-00317,ORG-0029,Kendall Hall,manager,True,2023-05-06,2025-11-17
USR-00318,ORG-0029,Reese Clark,member,True,2023-06-23,
USR-00319,ORG-0029,Dakota Young,member,True,2023-06-11,2026-01-21
USR-00320,ORG-0029,Emerson Clark,member,True,2023-06-14,2025-11-06
USR-00321,ORG-0029, Sage Brown  ,member,True,2023-05-10,2026-02-25
USR-00322,ORG-0029,Blake Tanaka,member,True,2023-06-10,2026-01-10
USR-00323,ORG-0029,Skyler Kim,member,True,2023-06-12,2025-11-14
USR-00324,ORG-0029,Riley Thomas, member ,True,2023-06-01,2026-01-04
USR-00325,ORG-0029,Emerson Clark,member,True,2023-05-05,2026-02-03
USR-00326,ORG-0029,Noel Anderson,member,True,2023-06-04,2026-02-10
USR-00327,ORG-0029, Skyler Clark  ,member,True,2023-05-24,2025-10-29
USR-00328,ORG-0029,Jules Young,member,True,2023-06-01,2026-01-13
USR-00329,ORG-0029,Indigo Park,member,False,2023-06-18,2023-07-01
USR-00330,ORG-0030,Alex Ali,owner,True,2024-01-12,2026-02-26
USR-00331,ORG-0030,Jordan Lee,admin,True,2024-01-06,
USR-00332,ORG-0030, Quinn Mueller  ,admin,True,2024-02-20,2026-02-10
USR-00333,ORG-0030,Gray Nguyen,manager,True,2024-01-21,2026-01-21
USR-00334,ORG-0030,Casey Young,manager,True,2024-01-06,2025-12-18
USR-00335,ORG-0030,Dakota Brown,manager,True,2024-02-20,2025-06-26
USR-00336,ORG-0030, Finley Young  ,member,True,2024-01-31,2026-02-24
USR-00337,ORG-0030, Indigo Lee  ,member,True,2024-02-19,2025-10-01
USR-00338,ORG-0030,Avery Lewis,member,True,2024-02-13,2026-01-01
USR-00339,ORG-0030, Avery Thomas  ,member,True,2024-02-22,2025-07-11
USR-00340,ORG-0030,Blake Tanaka,member,True,2024-02-16,2026-02-22
USR-00341,ORG-0030,Kit Ali,member,True,2024-01-27,2026-02-08
USR-00342,ORG-0030,Gray Lee,member,True,2024-01-23,2026-01-15
USR-00343,ORG-0030,Jordan Smith,member,True,2024-02-19,2026-01-31
USR-00344,ORG-0030,Reese King,member,True,2024-02-21,2025-12-05
USR-00345,ORG-0031,Haven Silva,owner,True,2024-10-26,2025-09-26
USR-00346,ORG-0031,Sage Clark,admin,True,2024-10-13,2025-09-03
USR-00347,ORG-0031,Sage Costa,admin,True,2024-10-16,2026-01-21
USR-00348,ORG-0031,Parker Jackson,manager,True,2024-10-15,2025-12-22
USR-00349,ORG-0031,Ellis Lewis,manager,True,2024-09-10,2026-01-30
USR-00350,ORG-0031,Riley Lee,manager,True,2024-09-02,2025-10-22
USR-00351,ORG-0031,Riley Lewis,manager,True,2024-09-30,2025-06-10
USR-00352,ORG-0031, Jordan Park  ,member,True,2024-09-15,2025-11-25
USR-00353,ORG-0031,Casey Nguyen, member ,True,2024-10-05,2025-08-22
USR-00354,ORG-0031,Alex Jensen,member,True,2024-09-27,2026-02-12
USR-00355,ORG-0031,Casey Chen,member,True,2024-09-07,2025-04-23
USR-00356,ORG-0031,Reese Chen,member,True,2024-10-17,2025-11-25
